description,title,image_id,user_tags
"Galena, AK - A Yukon River barge docks at Galena, Alaska, while barge workers unload construction materials and other goods ordered by residents, Sept. 6.
 
Barges and aircraft are the two means by which residents of Galena get all the goods they need for daily life, and are also the only way in which to ship much needed reconstruction materials to the village.
 
Huge sheets of ice clogged the Yukon River on May 28, 2013, downstream from the village of Galena. The river's water rapidly rose and breached its banks, flooding the town, destroying homes, and leaving months of recovery work behind when the waters receded.
 
(U.S. National Guard photo by Sgt. 1st Class Brock Jones, 128th Mobile Public Affairs Detachment)
 — in Galena, AK.",130906-Z-OY066-115,9786953263,"['alaska', 'alaska department of homeland security and emergency management', 'flood', 'galena', 'yukon river']"
,Bridge over troubled Tiber,3659775055,"['bridge', 'river', 'roma', 'rome', 'tiber', 'water']"
"A pic of the Mejijinga Shrine, I was told that every New Year's the
place is a mob scene with Tokyo-ites flooding the shrine for the new
year's wishes.",Tokyo: Mejijinga Shrine,1165599373,"['iphone', 'mobile']"
"Dan the Fisher Man fishing the river Nairn at Holme Bridge, Nairnshire.",Dan fishing Holme Bridge,7888648880,"['bridge', 'holme bridge', 'river nairn']"
Confusing sign.,Drive where?,3292833946,"['göterborg', 'mobile', 'road', 'sign', 'skylt', 'vägmärke', 'vägskylt']"
those special places,,2430080122,"['alamos', 'arboles', 'camino', 'green', 'isla teja', 'landscape', 'naturaleza', 'nature', 'paisaje', 'road', 'trees', 'valdivia', 'verde']"
"The River Thames in Flood at Higginson Park, Marlow.",Thames at Marlow in Flood,11607742766,"['flood', 'river', 'thames']"
"Madrid. Si no recuerdo mal, en algún sitio entre Callao y Opera.

<a href=""http://www.gegebe.com"" rel=""nofollow"">Gerard Girbes Berges</a> (2009)",Una calle anclada en otra época,4276264558,"['época', '2009', 'barrier post', 'black', 'building', 'buildings', 'calle', 'carrer', 'city', 'ciudad', 'ciutat', 'cobbled paving', 'detail', 'e330', 'edificio', 'edificios', 'edificis', 'españa', 'espagne', 'espanha', 'espanya', 'finestras', 'gegebe', 'geoetiquetadas', 'gerardgirbesberges', 'gray', 'grey', 'gris', 'herba', 'hierba', 'madrid', 'negre', 'negro', 'old', 'olympus', 'pavement', 'pavimento', 'paving', 'piedras', 'pivotes', 'road', 'spagna', 'spain', 'street', 'urban', 'ventanas', 'wall', 'way', 'windows']"
,100_3638,3679475969,"['art', 'building', 'city', 'flood', 'iowa', 'ruins']"
Fish Creek flooded after a week of rain.,"Fish Creek Park, Calgary, Alberta",5770083797,[]
"During the winter flood in Karachi in late 2006, near Jail Chowrangi (Central Jail)",All Terrain Civic,474407409,"['car', 'flood', 'karachi', 'pakistan', 'pakistani', 'rain', 'urban']"
"To celebrate Leyland's industrial heritage Leyland town hosted Leyland Transport Festival. Vintage buses carried visitors from a park and ride at Leyland Business Park to the British Commercial Vehicle Museum where even more vehicles were on display. Hough Lane (the main road through the town) was packed with hundreds of keen transport fantatics and families who enjoyed the vehicles, stalls and music.",Leyland Transport Festival,3742284697,[]
"Muziekgebouw aan 't IJ (English: ""Music Building at the IJ"") is a concert hall for contemporary classical music on the IJ in Amsterdam, Netherlands. The building is above the IJtunnel, a ten minute walk from the railway station Amsterdam Centraal. The building is designed by a Danish architect office 3xNielsen. The Bimhuis is part of and partly integrated in the Muziekgebouw aan 't IJ.

The first director was from 2005 to 2008 Jan Wolff; since june 2008 Tino Haenen is the artistic director. Haenen was former director of the Belgian contemporary music festival Ars Musica.",Muziekgebouw aan 't IJ,3040024164,"['amsterdam', 'europe', 'holland', ""muziek gbouwaan'tij"", 'netherlands', 'travel']"
"This little critter is a survivor of the Queensland floods. To read her story please click the link below. <a href=""http://www.woaw.org.au/wildlife-ward-flood-damaged"" rel=""nofollow"">www.woaw.org.au/wildlife-ward-flood-damaged</a>",Libby the Echidna,5367639912,"['echidna', 'qld', 'rescue', 'rspca', 'wildlifeward', 'woaw']"
And then walk until you reach what you want.,Anyone has to take his own road.,5582123335,[]
,Benched,5288729524,"['bench', 'flood', 'flooding', 'iphone', 'mission valley', 'san diego']"
"Just won't stop raining in Dover, Delaware today. Think we've had 4 inches already.",Oh when the rain comes,9271464598,"['delaware', 'dover', 'flooding', 'iphoneography', 'iphonography', 'rain', 'weather']"
,Extent of the flood in the Fairgrounds,7630400444,[]
"Am 14.08.2011 startete bei strömenden Regen die Aktion ""Gorleben365"". 
Ein Jahr lang soll an möglichst vielen Tagen die Zufahrt zum Schwarzbau Gorleben blockiert werden. Sei dabei!

On august 14th began the first blockade at the supposed nuclear waste deposit in Gorleben, Germany. We will try to block the traffic to the construction site of the deposit mine for 365 days. Be part of it!",Gorleben365 14.08.2011 - 02,6046276987,"['antiakw', 'antiatom', 'blockade', 'castor', 'demo', 'deu', 'deutschland', 'endlager', 'gorleben', 'gorleben365', 'niedersachsen', 'nonukes', 'protest', 'wendland', 'widerstand']"
,"Flooded yard, Near Bird's View, KY",5693375794,"['2011', 'banksofthebasin.com', 'ohio river flood']"
A block of ice from the river pushed on to ground by flood.,Koitelinkoski 4,8670298173,"['floe', 'forest', 'ground', 'ice', 'koitelinkoski', 'spring']"
Using an Motorola Atrix 4G taking photos the the Columbia River being 2 feet over flood stage along Vancouver Wa.'s water front,Vancouver waterfront hitting flood stage,5760109328,[]
,Lombard street-3206345,3448401855,"['city of london', 'lombard', 'lombard street', 'london', 'street city']"
"ca. 1906-ca. 1914

Melbourne street, with North Melbourne tram, in the floods.

Visit our catalogue to download a hi-res copy or find out more about this image: <a href=""http://handle.slv.vic.gov.au/10381/78600"" rel=""nofollow"">handle.slv.vic.gov.au/10381/78600</a> 

Want to find more pictures from the State Library of Victoria's collections? <a href=""http://guides.slv.vic.gov.au/pictures"" rel=""nofollow"">guides.slv.vic.gov.au/pictures</a>",Tram in the floods,8369234072,"['1910s', 'early 1900s', 'floods', 'melbourne', 'public transport', 'state library of victoria', 'tram']"
"Road construction includes river crossings like this one, dry for a good part of the year but flooding over the road can happen in the wet season.",Loule River Crossing,8079698787,"['5', 'chad', 'kome']"
,Across the street,1095219585,"['city life', 'dublin', 'gardiner row', 'ireland', 'street', 'sunlight']"
"After the dirty snow back in Leavenworth, 50 mles away, the color of the early sap running in the shrubs, and the blonde gold from last winters grasses  are a feast for the eye.",Subtle Pastels Color a Late Winter Landscape,393569678,"[':eastern', '2007', 'columbia', 'columbia river', 'february', 'ice age floods', 'pictoscribe', 'quincy wildlife refuge', 'qwr', 'wa', 'washinton']"
Magnolia virágözön,Magnolia flower flood,7508457002,[]
"Suspension bridge leading to <a href=""http://flickr.com/photos/nguyendai/495784973/"">construction site</a> of TGV Station Liège-Guillemins, Belgium.

See <a href=""http://vnoss.net/photo/495787837/o"">original size</a> on black.

My set <a href=""http://flickr.com/photos/nguyendai/sets/72157594463604459/"">Gare TGV Liège-Guillemins</a>",Pont suspendu,495787837,"['belgique', 'gare tgv liège-guillemins', 'liège', 'nguyendai', 'tgv station', 'wallonie']"
,Shoppers flood the streets,5313981901,"['instagram app', 'iphoneography', 'square', 'square format']"
,Mud left by the flooding,2188949674,"['park', 'photoroam']"
Starting on the trail from the picnic table/clearing,Sycamore trail,5591350008,"['post-flood', 'spring', 'sycamoreisland']"
"Created 8.17.2009, Philadelphia, PA",Outside City Hall,4376252683,"['broad street', 'city hall panorama philadelphia pa', 'gk3dlab.com', 'graham kelman']"
"The Very Large Array is a long ways from any cellular tower and over 7000 feet above sea level.  The road to get there is very long and straight.  Don't be tempted to think it's just a quick detour off highway 25.

This photo was about 5 miles out and the Very Large Array is just to the left behind those trees.",Road to the VLA,3693109000,['vla']
"The Portage Diversion is part of the Winnipeg flood protection system. It diverts water from the Assiniboine River at Portage la Prairie and sends it to Lake Manitoba. This year its diverting water at maximum capacity and the river is still flooding.

This is where the Trans-Canada highway bridges the diversion channel. The water was so high it was hitting the bottom of the highway bridges.",Portage Diversion - 2011 Spring Flood,5721286426,"['canada', 'flood', 'flooding', 'manitoba']"
The water is inside now and climbing fast.  I managed to get it all out except for a couple of jars of stringers.  You can just make out the water line outside is higher than inside.  It eventually evened out.,Second shot,3551204322,"['brisbane', 'flood', 'glass', 'glass studio', 'lampwork', 'may09']"
,Climatron Photo,2673061354,"['building', 'climatron', 'discovery', 'fountain', 'glass', 'pond', 'sonydsc-t70']"
"Flooding in Worcester, July 2007.",img_4719.jpg,940184138,"['flood', 'riversevern', 'worcester']"
"Flooding at the Primrose Trail head on Kenai Lake. Snow River floods every few years when a lake that is dammed up by the Snow Glacier suddenly breaks free. The flooding can raise the level of Kenai lake by several feet in a very short time.

                                     See a lot more information on the Snow River JÖKULHLAUP at  <a href=""http://aprfc.arh.noaa.gov/general/glacier.html"" rel=""nofollow"">aprfc.arh.noaa.gov/general/glacier.html</a>

And at <a href=""http://water.weather.gov/ahps2/hydrograph.php?wfo=pafc&gage=snoa2"" rel=""nofollow"">water.weather.gov/ahps2/hydrograph.php?wfo=pafc&gage=...</a>



Mile 17 Seward Highway 
Primrose, Kenai Peninsula, Alaska",SNOW RIVER JÖKULHLAUP,4030312147,"['22287', 'alaska', 'd300', 'dcsl', 'flooding', 'jökulhlaup', 'kenai lake', 'kenai peninsula', 'landscape', 'mile 17', 'nikon', 'primrose', 'seward highway', 'vr 18-200']"
,WA Farmland Flooding-18,2087080014,"['2007', 'december', 'farmland', 'flooding', 'lewis washington storm flooding water december 2007 farmland thurston', 'storm', 'thurston', 'washington', 'water']"
A small dozer is piling more earth onto the existing sandbags here.,StormChasing 148,6158660250,"['chasing', 'dakota', 'dmc', 'flood', 'fuji', 'fujifilm', 'lumix', 'minot', 'missouri', 'north', 'panasonic', 's5', 'states', 'storm', 'tz20', 'united']"
,CIMG1133,96627027,"['beach', 'flood', 'maple beach', 'point roberts', 'storm', 'water']"
"Flooding along the White River in eastern Arkansas has affected many communities and resulted in a call up of Arkansas National Guard soldiers and airmen. (Photo by Staff Sgt. Julian Johnson) 
Arkansas National Guard Public Affairs Office
Date Taken:5/7/2011
Location:AR, US
Related Photos: <a href=""http://dvidshub.net/r/ccd5bk"" rel=""nofollow"">dvidshub.net/r/ccd5bk</a>",Arkansas National Guard Flood Response [Image 5 of 23],5704428047,"['ar', 'arkansas', 'arkansas national guard', 'flooding', 'military', 'us', 'water']"
,Little River over flood stage,7005004869,"['2012', 'texas', 'weeklywinners']"
"Looking back to the west along highway 190 as Kerry and I were leaving Death Valley National Monument on our way to Las Vegas, the final destination on our long road trip honeymoon. 

I feel like this shot captures the stark beauty of Death Valley, but also the romance of traveling by car across this stunningly beautiful country. It also conveys the subdued sense of sadness that our ""escape"" was coming to an end, though the real journey was just beginning.",The Road Less Traveled,4140356262,"['death valley', 'desert', 'desolate', 'highway', 'longing', 'mountains', 'nature', 'peaceful', 'stark']"
"Driving through Sibiu is not something I'd recommend. Though driving through Romania is not something I'd recomment, generally.",Cars in an old town street,1817521999,"['city', 'hermannstadt', 'romania', 'sibiu', 'summer']"
,Zagreb // flood,5004564071,"['flood', 'zagreb']"
,"Cade's Cove was nice but people kept stopping on the road, even though there's a million turn-offs, so it took absolutely forever.",8315713461,"['instagram app', 'iphoneography', 'square', 'square format']"
"A view of the floods in the Teifi valley.


<a href=""http://www.jacobwhittaker.co.uk"">www.jacobwhittaker.co.uk</a>",Flooded Teifi Valley  26_11_06e,388545542,"['flood', 'landscape', 'teifi', 'valley']"
"North Ave
Baltimore, Maryland",From the Roof of Load of Fun,4551251867,"['alley', 'art', 'baltimore', 'charles street', 'city', 'howard street', 'load of fun', 'north avenue', 'samantha cimino', 'street']"
,Country Road,8576707204,"['country', 'dirt', 'farm', 'florida', 'ranch', 'road']"
"El cubo de ladrillo casi perfecta fue construido a principios del siglo 10 y pertenece a un gran renacimiento cultural de la dinastía samánida (875 a 999). La tumba se deriva su nombre del fundador de la dinastía de Ismael, y no sólo contiene su tumba, sino también la de su padre de Ahmed, su sobrino, Nasr y otros de la línea de samánida.
 

El mausoleo toma elementos de arquitectura de principios del Sogdiana (por ejemplo, la esquina pesados ​​contrafuertes) y la adoración del fuego sasánida. La combinación de estos con la aritmética de los últimos avances y geométricas hechas por Al Khorezmi, Fergani Al e Ibn Sina y la última tecnología, el cementerio monumental servirá como una fórmula de arquitectura en los siglos venideros.
 

La construcción es de un cubo de 10,8 metros, con cuatro fachadas idénticas, todos ellas se inclinan ligeramente hacia el interior y sobre el cual se encuentra una cúpula semiesférica rodeada de cuatro domelets. Cuatro arcos internos con el apoyo de pilares de esquina forman la trompa sobre la que descansa la transición 8 y 16 caras en el tambor. Este chortak (""cuatro arcos ') fue revolucionario para la época y llegó a dominar un sinnúmero de tumbas conmemorativas posteriores. Desde el exterior, la zona de transición está enmascarado por una galería de diez ventanas que proporcionan luz y ventilación de las tumbas . El mausoleo es también rico en simbolismo. Su cubo no sólo remite a lo sagrado de piedra Kaaba en La Meca (Arabia Saudita), sino que además simboliza la tierra y complementa su cúpula, símbolo del cielo, para crear una metáfora del universo
......................................................................................................................................................................................
The almost perfect brick cube was built at the beginning of the 10th century and belongs to a great cultural revival of the Samanid (875-999) dynasty. The Tomb derives its name from the founder of the dynasty of Ishmael, and not only contains his tomb, but also that of his father of Ahmed, his nephew, Nasr and others of the Samanid line.



The mausoleum takes elements of architecture from the beginning of the Sogdiana (for example, the corner heavy buttresses) and the adoration of the Sassanid fire. The combination of these with the arithmetic of the latest advances and geometric made by to the Khorezmi, Fergani to e Ibn Sina and the latest technology, the monumental Cemetery will serve as a form of architecture in the centuries to come.



The building is a cube of 10.8 m, with four identical facades, all of which are slightly inclined inwards and on which is a hemispherical dome surrounded by four domelets. Four internal arches supported by pillars of corner forms the tube on which rests the transition 8 and 16 sides in the drum. This chortak (""four arch ' # it was revolutionary for the time and came to dominate a large number of commemorative tombs later."") From the outside, the transition zone is masked by a gallery of ten Windows that provide light and ventilation of the tombs fresh interior. The mausoleum is also rich in symbolism. Its cube not only refers to the sacred stone Kaaba in Mecca # Saudi Arabia #, but it also symbolizes the Earth and complements its dome, symbol of heaven, to create a metaphor of the universe",uzbekistan 343 BUJARA El mausoleo de Ismaël Samani (siglo X),6366383963,"['bujara', 'mausoleodeismaelsamani']"
Jewish Quarter Jerusalem,Hanevel street,10113485663,"['city', 'jerusalem', 'jerusalem canon t1i', 'old', 'walled']"
"After the discovery of America and of the passage to India Venice started to decline in power during the 16th century. The Ottoman Empire grew and threatened the old trade routes. Thus many of the cities nobility left the lagoon and settled on the mainland. Farming promised better profits and an easier life than trade.

By then Andrea Palladio was a famous architect and first choice when it came to building the lush new country mansions.",Villa Barbaro (Veneto 2),11713359823,"['16th. century', 'andrea palladio', 'architecture', 'collin key', 'it', 'italy', 'landscape', 'maser', 'symmetry', 'veneto', 'villa barbaro']"
,Bristol,161549809,"['bridge', 'bristol', 'clifton suspension bridge', 'river']"
This road takes you back to civilization to the city of Lahad Datu. The drive is about 2 hours and takes you through primary and secondary rainforest. Better not leave yet...,2 Hours To Civilization,12249212616,"['asia', 'borneo', 'danum valley', 'forest', 'green', 'jungle', 'malaysia', 'nature', 'primary rainforest', 'rainforest', 'road', 'sabah', 'tree', 'trees']"
flooded when lake levels are high,The original trackbed,3643814133,"['north wales', 'railway', 'snowdonia', 'snowdonia national park', 'snowdonia railway ffestiniog', 'wales']"
,Looking Down on the World Below,3562706180,"['below', 'black', 'bridge', 'bw', 'car', 'city', 'down', 'drive', 'la', 'light', 'lighting', 'looking', 'road', 'street', 'white', 'world']"
This area is a flood plane for the storm eater that has flooded into the underpass of the L&N Railway.,100_0879,7128242087,[]
,winter 2008 067,2187865255,"['flood', 'floodie', 'water']"
"At Manassas Battlefield, VA.

Looking beyond one area of the battlefield to other sections of the long battlegrounds which the war first took life.",Vast Hills,4748506474,"['battle', 'bridge', 'camera', 'cars', 'field', 'finepix', 'finepix s1500', 'fuji', 'fujifilm', 'fujifilm fuji', 'fujinon', 'hill', 'monassas', 'open', 'road', 's1500', 'space', 'street car', 'tree', 'trees']"
My place of work was hit by the flood.,Brisbane Floods - 2011,5356438428,"['13jan2011', 'flood', 'nbb']"
"Summer garden catalogs and emails are already flooding in.  Lovely. I want these. <a href=""http://www.waysidegardens.com/gardening/PD/48181?cid=wem001441"" rel=""nofollow"">www.waysidegardens.com/gardening/PD/48181?cid=wem001441</a>",summer flowers,4170575404,[]
"this used to be the road, before the flood. now it's just the short cut to the river.",short cut to the river,23613184,"['bethel', 'july4th', 'vermont', 'vt']"
,House with Berm,21969907,"['alberta', 'crooked tree ranch', 'flood 2005', 'jenner', 'red deer river']"
,River Dee,1926638518,"['canon350d', 'landscape', 'river dee', 'scotland', 'sigma17-70', 'vacation']"
"Wiregrass Central railroad at Enterprise, Alabama in 1998. This was in the ""transitional"" period where the older red geeps were being replaced by charcoal grey ones. Sale of the Atlantic & Gulf also prompted a flood of motive power to Enterprise, and there was never a shortage of power!

10 years after this photo was taken, standard issue G&O GP40's are in use on the Wiregrass Central.",Wiregrass Central Railroad,2630984733,[]
"I know it, the bricks were yellow, but there isn't yellow grass in the park. LOL",Follow the green brick road,3749201399,"['bricks', 'follow the yellow brick road', 'grass', 'green', 'nikkor 50mm f/1.8', 'nikon', 'the wizard of oz', 'yellow']"
,Flood Control Monument,3980118300,"['china', 'flood control monument', ""ha'erbin"", 'heilongjiang', 'zhongyang dajie']"
,Deer Bridge flooded,3222980740,"['countryside', 'deer bridge', 'devon', 'flooded', 'river', 'slapton', 'south hams', 'water']"
"After the heavy rains overnight the site, like many other places in the area, was flooded. 

{Anyone seen the Mary rose?}",Site sodden,1050158687,"['archaeology', 'calleva atrebatum', 'england', 'hampshire', 'reading', 'roman', 'silchester', 'town']"
"Why is there so much sand? Must be manmade! 

I haven't explored the sandy beach yet (wrong shoes today). But it just feels WRONG to me. It should be freezing, with a biting wind causing tears to flood ones eyes, hands deep in ones pockets, and a tammy on ones head.",How deep?,23140998,"['beach', 'los angeles', 'santa monica']"
apartment building art,IMG_1475.jpg,2584401387,['valencia']
25 to 30 feet deep and full.,Sunset Meadows Retention Pond,2857616551,"['arlington heights', 'flood', 'sunset meadows']"
,The road home,3361152728,"['birts', 'firefighter0793', 'howard', 'riverside', 'walk']"
The main school building of the original Armour Institute,Armour Institute,2880338116,"['armour institue', 'chicago', 'iit', 'machinery hall']"
"Winchester Cathedral positively glows when the Sun is right! The rain clouds parted for just a few minutes and the Sun shone through to reveal this ancient building in all its Medieval glory.
3 exp hand held HDR
You can press""L"" to embiggen!
View my stream LARGE on <a target=""new"" href=""http://www.darckr.com/username?username=neilalderney123&format=medium&format=Large"" rel=""nofollow""> DARKR </a>  it is worth it.
If you want <b> prints</b> of my work see my <a target=""new"" href=""http://www.flickr.com/people/neilsingapore/""> Profile</a>",Winchester Cathedral,5481894313,"['cathedral', 'church', 'clouds', 'graves', 'graveyard', 'hdr', 'tree line', 'trees', 'welcomeuk', 'winchester']"
High-visability,IMG_1919.JPG,288597676,"['abandoned', 'curb', 'dayglo', 'fluorescent', 'high vis', 'visible', 'wet road', 'yellow line']"
Gibb River Road,Dusty road,6109872789,"['australia', 'clear sky', 'country road', 'image type', 'landscape', 'location', 'nature', 'noon', 'red dust', 'roads', 'sand', 'sun', 'time of day', 'weather', 'western australia']"
"Building Fire, 02/06/2009. Thomasbrook Appartments, 11405 West 75th Street in Shawnee, KS.

Originals may be purchased by contacting Operation100@ymail.com.",Thomasbrook 11,3268633362,"['building fire', 'fire', 'fire engine', 'fire truck', 'johnson county', 'overland park fire', 'shawnee fire', 'shawnee kansas', 'shawnee police']"
"Photos of an interesting adventure during one of Albuquerque, New Mexico's freak thunderstorms. Due to the arid climate, the city of Albuquerque never truly builds water runoff systems. When a storm hits, it hits the streets and the desert town suddenly becomes Venice.

This is a series of 15 photos in which I take part in the clusterfuck of traversing the storm, try to help stranded others, and get stranded myself.",Rainstorm In Albuquerque 14,203588417,"['albuquerque', 'flash flood', 'flood', 'flooding', 'new mexico', 'rain', 'rainstorm', 'storm', 'thunderstorm']"
,Flooded Holmes Run,9051116493,"['alexandria', 'flood', 'holmes', 'holmes run', 'holmes run greenway', 'holmes run park', 'united states', 'united states of america', 'usa', 'va', 'virginia']"
"Valencia's central axis, the old river bed of the Turia river now serves as a green belt across the city after the river was diverted due to flooding, causing vast devastation to the city, not to mention lives.",Turia Gardens,3972231325,"['espana', 'eu', 'europe', 'reflections', 'river', 'spain', 'tree', 'turia', 'turia gardens', 'valencia', 'water']"
Sunrise in Palms Springs after the storm.,Moon Over Mt. San Jacinto,5287305268,"['flooding', 'rain', 'storm']"
,Outside the Paterson Silk Factory building with the shutterbugs,4613249379,[]
,Cable road to Golden Roof temple,2971614414,"['китай', 'удан', 'china', 'wudang']"
,I love this building! #atx,8481483983,"['instagram app', 'iphoneography', 'square', 'square format']"
The biggest parliament building in the world,IMG_2840,469616765,"['2007', 'aldo', 'aldo van zeeland', 'boedapest', 'budapest', 'danube', 'donau', 'duna', 'gellert', 'hungary', 'van', 'zeeland']"
"One of my first attempts at HDR
3 exposures merged in hdr efex pro",Old Mill Bridge,6213060728,"['bridge', 'river', 'stone', 'stream', 'water']"
"The area is crisscrossed by streams ideal for trout fishing. But the poor land management practices of the early 20th century have had their devastating impact. Rains washed the fine loess from the cultivated hillsides, causing gullies to form and silting up the streams. Flash flooding was common.",Environmental Geology Comes Home,10933651284,"['environmental', 'geology', 'land management', 'stnorbert']"
"A wonderful place in Milan City

The Milan Monumental Cemetery is located in an area of 250,000 mq. Inaugurated in 1866, it was designed by the architect Carlo Maciachini (1818-1899).

The construction first met the hygienic and town-planning needs linked to the presence of a high number of burial places inside the town. Moreover, the Municipality wanted to give the community a representative place by joining the cult of the dead. 

Within its walls, Monumentale gives hospitality to graves of different cults an religions, including the sections for non-Catholics and Jews.

The work of Maciachini includes different stylists suggestions according to the eclectic taste of the age and it joins together the Pisano Gothic and the Lumbard Romanesque style with some inserts imitating the Byzantine style.

The entrance square is dominated by the Memorial Chapel Famedio, a successful neologism indicating the temple dedicated to fame and giving hospitality to famous and well-deserving men. 

The sculptures and building of the Monumental Cemetery show the town historical events and its artistic history from Realism and Eclecticism, to Liberty and Symbolism until the contemporary age, as if it were a real museum in the open air where the main Italian artists are represented.

If you want to learn more about my post processing : <a href=""http://mylightroomexperience.tumblr.com/"" rel=""nofollow"">mylightroomexperience.tumblr.com/</a>",Monumental cemetery,6363221023,"['cemetery', 'cimitero', 'ivan', 'ivan saracino', 'milan', 'milano', 'osarracino', 'saracino']"
You see the St. Patricks church with the Four Seasons behind it and the construction site of the Jewish Museum,San Francisco Yerba Buena Gardens,245364195,"['francisco', 'san', 'yerbabuena']"
Orwell Bridge,Orwell Bridge 30-6-2004,4971628126,"['2004', 'country side', 'fields', 'ipswich', 'june', 'orwell bridge', 'river orwell', 'suffolk', 'summer']"
,"Würzburg, Germany",7291591550,"['architecture', 'building', 'würzburg, germany']"
This creek was roofed over and walled-in in an attempt to control flood waters.,Aqueduct,1087449616,"['chiapas', 'mayan', 'mexico', 'palenque', 'ruins', 'yucatan']"
Photo taken a little before high tide. The West End ferry terminal was closed shortly after.,"A swollen Brisbane River at Orleigh Park, West End.",5341274635,"['australia', 'brisbane', 'brisbane river', 'flood', 'flooding', 'floods', 'instagram app', 'iphoneography', 'queensland', 'river', 'square', 'square format']"
"In Buddhism a bodhisattva is a being with great compassion on the way to enlightenment, like having a tenure-track position to full Buddhahood. However, a bodhisattva does not wish to hurry in the pursuit of liberation but instead chooses to help other suffering beings. Ksitigarbha bodhisattva, called Jizo in Japan, is one of the most beloved bodhisattvas. The statues of Jizo usually sport red hats and bibs. A line of Jizo statues here in Kanmangafuchi abyss in Nikko at the banks of the fast flowing river Daiya. The flooding river has damaged a lot of statues, some of which have crumbled and just a few stones remain. The Jizos here are called ghost Jizos (bake Jizo) because they seems to appear and disappear into thin air.

Face of a ghost is hidden in this photo. Can you find it?
(hint: middle, left)",Kanmangafuchi abyss - ghost Jizo,10357127206,"['bake jizo', 'daiya', 'flood', 'green', 'japan', 'jizo', 'moss', 'nikko', 'red', 'river']"
cool,yeah water,632961343,"['flood', 'lake white', 'statepark', 'waverly ohio']"
,Flooding on 210 Road,1175777923,"[""'tropical"", 'flooding', 'high water', 'landcane', 'oklahoma', 'okmulgee', 'roads', 'storm']"
